x,y,label,group
0.3120183694669355,0.3236021464343122,#2800ff,0
0.27814433722354226,0.35852027000760445,#0028ff,1
0.04603767123350574,0.5023518576478375,#0092ff,2
-0.008452874494089711,0.5101840214099521,#00b2ff,3
-0.27431484367904146,0.3907139912650943,#00ffff,4
-0.42209180006816927,0.2175921914289453,#00ff61,5
-0.5024295624166804,0.04657602718011828,#77ff00,6
-0.5199435734658052,-0.10997058395156749,#b3ff00,7
-0.189281209521987,-0.4105394842657331,#fff200,8
0.0136641333098168,-0.4588548379011681,#ffbe00,9
0.1899201928998443,-0.4235849891524769,#ff9b00,10
0.30058957195281816,-0.36950696138752476,#ff5700,11
0.3482857740247472,-0.3249018608611575,#ff0000,12
0.43445017658836604,-0.2490136532978914,#ff0000,13
